Note;Beat_Strength;Occurrence
A;1.0;8
A;0.5;7
A;0.25;10
G;1.0;4
G;0.5;13
G;0.25;0
F;1.0;4
F;0.5;4
F;0.25;4
D;1.0;3
D;0.5;10
D;0.25;5
E;1.0;11
E;0.5;2
E;0.25;4
C;1.0;4
C;0.5;4
C;0.25;1
B;1.0;2
B;0.5;0
B;0.25;0
B-;1.0;2
B-;0.5;2
B-;0.25;0
A;1.0;8
A;0.5;7
A;0.25;10
G;1.0;4
G;0.5;13
G;0.25;0
F;1.0;4
F;0.5;4
F;0.25;4
D;1.0;3
D;0.5;10
D;0.25;5
E;1.0;11
E;0.5;2
E;0.25;4
C;1.0;4
C;0.5;4
C;0.25;1
B;1.0;2
B;0.5;0
B;0.25;0
B-;1.0;2
B-;0.5;2
B-;0.25;0
A;1.0;8
A;0.5;7
A;0.25;10
G;1.0;4
G;0.5;13
G;0.25;0
F;1.0;4
F;0.5;4
F;0.25;4
D;1.0;3
D;0.5;10
D;0.25;5
E;1.0;11
E;0.5;2
E;0.25;4
C;1.0;4
C;0.5;4
C;0.25;1
B;1.0;2
B;0.5;0
B;0.25;0
B-;1.0;2
B-;0.5;2
B-;0.25;0
A;1.0;8
A;0.5;7
A;0.25;10
G;1.0;4
G;0.5;13
G;0.25;0
F;1.0;4
F;0.5;4
F;0.25;4
D;1.0;3
D;0.5;10
D;0.25;5
E;1.0;11
E;0.5;2
E;0.25;4
C;1.0;4
C;0.5;4
C;0.25;1
B;1.0;2
B;0.5;0
B;0.25;0
B-;1.0;2
B-;0.5;2
B-;0.25;0
A;1.0;8
A;0.5;7
A;0.25;10
G;1.0;4
G;0.5;13
G;0.25;0
F;1.0;4
F;0.5;4
F;0.25;4
D;1.0;3
D;0.5;10
D;0.25;5
E;1.0;11
E;0.5;2
E;0.25;4
C;1.0;4
C;0.5;4
C;0.25;1
B;1.0;2
B;0.5;0
B;0.25;0
B-;1.0;2
B-;0.5;2
B-;0.25;0
